Multi MS Window Export

Acqusition Time: 13.09.2019 / 08:09:38
Number of Spectra: 804
Min Mass: 61.75830315784616 m/z
Max Mass: 62.19060850537836 m/z
Number of Accumulations: 100
Interscandelay: 100
Time Multiplicity: 2
Overflow Number: 0
Calibration-B: 0.568877016776
Time Step: 0.0016
comment:
mass 62
laser on
347 IT
MRS ON
(actually off)


Summed: 
_004 MS 13 on
_005 MS40 on
_006


Target:	MS "MS 1 - 804 t-res ni=671.63"
m/z	->	Log10
61.92387379876754	0
61.92391049455679	0
61.9239471903569	3
61.92398388616788	1
61.92402058198974	0
61.92405727782248	0
61.92409397366608	0
61.92413066952056	0
61.92416736538591	0
61.92420406126214	0
61.92424075714924	0
61.9242774530472	0
61.92431414895605	0
61.92435084487576	0
61.92438754080635	0
61.92442423674781	0
61.92446093270015	0
61.92449762866335	0
61.92453432463743	0
61.92457102062239	0
61.92460771661821	0
61.92464441262491	0
61.92468110864249	0
61.92471780467093	1
61.92475450071025	0
61.92479119676044	0
61.9248278928215	0
61.92486458889343	0
61.92490128497624	0
61.92493798106993	0
61.92497467717448	0
61.92501137328991	0
61.92504806941621	0
61.92508476555339	0
61.92512146170143	0
61.92515815786035	0
61.92519485403014	0
61.9252315502108	0
61.92526824640234	0
61.92530494260475	0
