A,N-Z,N,Z,Element,O,ME [keV],Error ME [keV],BINDING ENERGY/A [keV],Error BINDING ENERGY/A [keV],ATOMIC MASS [µu],Error ATOMIC MASS [µu],Extrapolated?
100,12,56,44,Ru,    ,-89227.38900,0.34300,8619.35900,0.00300,99904210.45200,0.36800,False
100,10,55,45,Rh,    ,-85591.12600,18.12500,8575.17200,0.18100,99908114.14100,19.45800,False
100,8,54,46,Pd,    ,-85212.77800,17.63800,8563.56600,0.17600,99908520.31500,18.93500,False
100,6,53,47,Ag,   x,-78137.95900,5.00000,8484.99400,0.05000,99916115.44500,5.36700,False
100,4,52,48,Cd,    ,-74194.59600,1.67700,8437.73700,0.01700,99920348.82000,1.79900,False
100,2,51,49,In,    ,-64312.97200,182.51900,8331.09700,1.82500,99930957.18000,195.94200,False
100,0,50,50,Sn,   -,-57282.97200,301.51800,8252.97400,3.01500,99938504.19600,323.69300,False
101,29,65,36,Kr,   x,-29128.00000,503.00000,8081.00000,5.00000,100968730.00000,540.00000,True
101,27,64,37,Rb,   +,-42845.00000,200.00000,8209.00000,2.00000,100954004.00000,215.00000,True
101,25,63,38,Sr,   x,-55324.90700,8.48000,8324.74000,0.08400,100940606.26600,9.10300,False
101,23,62,39,Y,   x,-65061.00200,7.09200,8413.39100,0.07000,100930154.13800,7.61400,False
101,21,61,40,Zr,    ,-73165.95700,8.33900,8485.89200,0.08300,100921453.11000,8.95100,False
101,19,60,41,Nb,   x,-78891.49100,3.74900,8534.83500,0.03700,100915306.49600,4.02400,False
101,17,59,42,Mo,  -n,-83519.94900,0.30900,8572.91500,0.00300,100910337.64100,0.33100,False
101,15,58,43,Tc,   +,-86344.59400,24.00400,8593.13600,0.23800,100907305.26000,25.76800,False
101,13,57,44,Ru,    ,-87958.11400,0.41500,8601.36500,0.00400,100905573.07500,0.44500,False
101,11,56,45,Rh,    ,-87412.41600,5.84100,8588.21600,0.05800,100906158.90500,6.27000,False
101,9,55,46,Pd,    ,-85432.13200,4.58800,8560.86400,0.04500,100908284.82800,4.92500,False
101,7,54,47,Ag,   x,-81334.37400,4.83800,8512.54600,0.04800,100912683.95300,5.19300,False
